business_name,first_name,email,website,city,state,country,niche
Jason Worsnip Family Funeral Service,Director,info@jasonworsnip.com,jasonworsnip.com,Manchester,Greater Manchester,UK,Funeral service & cemetery
Lilleywhite Funeral Service,Director,enquiries@lilleywhite-funerals.co.uk,lilleywhite-funerals.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Kane funeral service - Middleton,Director,kfsmiddleton@outlook.com,https://kanefuneralservices.com/,Middleton,Greater Manchester,UK,Funeral service & cemetery
Greater Manchester Funeral Service,Director,gmfs.limited@aol.com,https://www.greater-manchester-funeral-service.com/,Manchester,Greater Manchester,UK,Funeral service & cemetery
Kane funeral service - Wythenshawe branch,Director,kfsheatonchapel@yahoo.com,https://kanefuneralservices.com/,Wythenshawe,Greater Manchester,UK,Funeral service & cemetery
Middleton's Funeral Services,Ian,ianleary@middletonsfunerals.com,middletonsfunerals.com,Manchester,Greater Manchester,UK,Funeral service & cemetery
Bridgewater Funeral Service Ltd,Emma,emma@bridgewaterfuneralservice.co.uk,bridgewaterfuneralservice.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Woodland Cemetery,Director,info@woodlandcemetery.co.uk,woodlandcemetery.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Christopher Terry Funeral Service LTD,Director,info@ecclesfunerals.co.uk,ecclesfunerals.co.uk,Eccles,Greater Manchester,UK,Funeral service & cemetery
Kane Funeral Sevices - Withington,Director,kaneswithington@outlook.com,https://kanefuneralservices.com/,Withington,Greater Manchester,UK,Funeral service & cemetery
Farrell-McCartan Funeral Services,Luke,luke@fmfuneral.co.uk,fmfuneralservice.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
The Co-operative Funeralcare,Amanda,amanda.lenney@coop.co.uk,coop.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Heathcote's Funeral Services,Director,info@heathcotesfuneralservices.co.uk,heathcotesfuneralservices.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Broadoak Independent Funeral Service,Director,info@broadoakfunerals.com,broadoakfunerals.com,Manchester,Greater Manchester,UK,Funeral service & cemetery
Michael Kennedy Funeral Services,Director,michaelkennedy.blackley@funeralpartners.co.uk,funeralpartners.co.uk,Blackley,Greater Manchester,UK,Funeral service & cemetery
Louise Walch Family Funeral Services,Louise,info@louisewalchfunerals.co.uk,louisewalchfunerals.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Hedley Jackson Funeral Directors,Hedley,info@hedleyjackson.co.uk,hedleyjackson.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
John R Tollitt Funeral Director,John,info@tollittfunerals.co.uk,tollittfunerals.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
The Green Funeral Services,Director,support@thegreenfunerals.co.uk,thegreenfunerals.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Kim Metcalf Funeral Services Ltd,Kim,info@kimmetcalffuneralservices.co.uk,kimmetcalffuneralservices.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
YSS - YOLO Funeral Support Services,Alistair,alistair@yolofuneralservices.co.uk,yolofuneralservices.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Bill Vickers And Son Funeral Services,Bill,billvickersandsonfunerals@gmail.com,https://billvickersandsonfuneralservices.co.uk/,Manchester,Greater Manchester,UK,Funeral service & cemetery
Cheethams Funeral Service,Director,info@dootsonandharrison.co.uk,dootsonandharrison.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
Hong Kong Funeral Services and Monumental Masons,Director,info@hongkongfuneralservices.com,hongkongfuneralservices.com,Manchester,Greater Manchester,UK,Funeral service & cemetery
Greater Manchester Funeral Service Ltd,Michael,gmfs.limited@aol.com,http://www.greatermanchesterfuneralserviceltd.com/,Manchester,Greater Manchester,UK,Funeral service & cemetery
Solace Funeral Service,Director,info@solacefs.co.uk,solacefs.co.uk,Manchester,Greater Manchester,UK,Funeral service & cemetery
